number,name,station_id
502,WGBH (PBS),28055
503,My Network TV (WSBK),32723
504,WBZ (CBS),20431
505,WCVB (ABC),19596
507,WHDH News 7,20358
508,WFXT (FOX),20362
509,WMUR (ABC),19604
510,WBTS NBC 10,91446
511,WENH (PBS),25002
512,WLVI (CW),32633
513,NECN HD,66278
514,WNEU (Telemundo),34012
515,WBPX (ION),54883
518,WSBE Ocean State (PBS),86984
521,WUTF (UniMas),44506
523,WMFP SonLife,50380
527,WUNI (Univision),19599
544,WGBX 44 (PBS),31719
546,WWDP ROAR TV,43317
550,USA Network HD,58452
551,TNT HD,42642
552,TBS HD,58515
554,Paramount Network HD,59186
570,ESPN HD,32645
571,ACC Network HD,111871
573,ESPNU HD,60696
574,ESPN2 HD,45507
575,SEC Network HD,89714
576,NESN HD,35038
577,NBC Sports Boston HD,49198
578,NESN Plus HD,63516
584,Fox Sports 2 HD,59305
588,NFL Network HD,45399
592,Tennis Channel HD,60316
596,beIN Sports HD,76950
600,CNN HD,58646
602,CNBC HD,58780
603,MS NOW HD,64241
604,NewsNation HD,91096
605,Bloomberg TV HD,71799
611,The Weather Channel HD,58812
616,Newsmax TV HD,97163
619,AccuWeather HD,97301
620,Discovery Channel HD,56905
622,Science Channel HD,57390
623,Investigation Discovery HD,65342
628,History HD,57708
629,FYI HD,58988
630,Animal Planet HD,57394
631,MotorTrend HD,31046
635,Great American Faith & Living HD,90858
639,TLC HD,57391
640,Lifetime HD,60150
641,LMN HD,55887
644,Oxygen HD,70522
649,WE tv HD,59296
650,QVC HD,60222
651,HSN HD,62077
652,Jewelry TV HD,65556
653,QVC2 HD,82696
654,HSN2 HD,99450
656,QVC3 HD,102337
658,Gem Shopping Network HD,109264
659,ShopLC HD,93564
664,Food Network HD,50747
665,HGTV HD,49788
667,Magnolia Network HD,67375
670,Travel Channel HD,59303
678,Law & Crime Network HD,109553
680,SYFY HD,58623
681,A&E HD,51529
683,truTV HD,64490
684,Game Show Network HD,68827
685,Bravo HD,58625
688,Ovation HD,69061
689,BBC America HD,64492
690,Comedy Central HD,62420
692,REELZ HD,68385
694,Pop HD,68796
695,Comedy.TV HD,82470
696,E! HD,61812
697,VICE TV HD,65732
699,Freeform HD,59615
710,MTV HD,60964
711,MTV2 HD,75077
717,VH1 HD,60046
720,BET Her HD,63220
721,CMT HD,59440
731,AMC HD,59337
732,FXM HD,70253
734,IFC HD,59444
735,SundanceTV HD,71280
737,Hallmark Family HD,105723
738,UP HD,66143
739,Hallmark Mystery HD,46710
740,Hallmark Channel HD,66268
741,TV Land HD,73541
746,Cowboy Channel HD,80597
752,Nickelodeon HD,59432
754,NickToons HD,82654
755,TeenNick HD,97047
756,Nick Jr. HD,82649
757,Cartoon Network HD,60048
770,BET HD,63236
771,TV One HD,61960
772,ASPiRE HD,97409
773,Cleo TV HD,110289
780,Disney Channel HD,59684
781,Disney XD HD,60006
786,INSP HD,82773
787,Impact Network HD,136901
793,Daystar HD,87001
795,PTL TV HD,115357
797,SonLife HD,91314
798,JBS HD,80834
815,FanDuel TV HD,21345
830,Big Ten Network HD,61143
